,G_x,AB,R,H,2B,3B,HR,RBI,SB_x,CS_x,BB,SO,IBB,HBP,SH,SF,GIDP,stint,G_y,GS,InnOuts,PO,A,E,DP,PB,SB_y,CS_y,salary,MinSalaries,adjSalary,adjMinSalaries,adjSalary2,Bavg,Slug,OBP,FPct,yearID,playerID,Primary
1613,156,575,83,158,22,1,27,97.0,5.0,6.0,76,96.0,5.0,0.0,1.0,3.0,20.0,1.0,145.0,142.0,3790.0,253.0,6.0,3.0,1.0,0.0,0.0,0.0,1911714.0,62500.0,4125478.812,134875.0,4125478.812,0.2747826086956522,0.4573913043478261,0.3577981651376147,0.9885496183206107,1987,winfida01,OF
1652,156,614,78,165,27,5,24,97.0,4.0,2.0,34,66.0,5.0,1.0,0.0,8.0,21.0,1.0,149.0,147.0,3813.0,253.0,8.0,15.0,1.0,0.0,0.0,0.0,1900000.0,62500.0,3938700.0,129562.5,3938700.0,0.2687296416938111,0.44625407166123776,0.30441400304414,0.9456521739130435,1988,bellge02,OF
1665,155,584,128,214,45,6,5,58.0,2.0,3.0,125,34.0,18.0,3.0,0.0,7.0,23.0,1.0,151.0,151.0,3941.0,122.0,250.0,11.0,17.0,0.0,0.0,0.0,1650000.0,62500.0,3420450.0,129562.5,3420450.0,0.3664383561643836,0.4897260273972603,0.4756606397774687,0.9712793733681462,1988,boggswa01,3B
1679,157,589,90,180,42,3,24,103.0,14.0,3.0,82,51.0,15.0,3.0,0.0,7.0,15.0,2.0,125.0,124.0,3228.0,1126.0,70.0,10.0,105.0,0.0,0.0,0.0,2305000.0,62500.0,4778265.0,129562.5,4778265.0,0.30560271646859083,0.5093378607809848,0.3891336270190896,0.9917081260364843,1988,brettge01,1B
1707,130,455,39,110,16,2,11,46.0,0.0,2.0,34,52.0,1.0,7.0,1.0,6.0,8.0,3.0,130.0,122.0,3190.0,842.0,58.0,10.0,8.0,9.0,136.0,31.0,2160714.0,62500.0,4479160.1219999995,129562.5,4479160.1219999995,0.24175824175824176,0.35824175824175825,0.300796812749004,0.989010989010989,1988,cartega01,C
1736,157,591,78,179,31,8,24,79.0,12.0,4.0,37,73.0,12.0,4.0,1.0,7.0,13.0,1.0,147.0,147.0,3773.0,267.0,7.0,3.0,1.0,0.0,0.0,0.0,1850000.0,62500.0,3835050.0,129562.5,3835050.0,0.30287648054145516,0.5042301184433164,0.3442879499217527,0.9891696750902527,1988,dawsoan01,OF
1767,149,559,96,164,31,7,21,111.0,5.0,1.0,76,99.0,3.0,1.0,2.0,7.0,16.0,2.0,149.0,139.0,3604.0,611.0,34.0,9.0,39.0,0.0,0.0,0.0,1600000.0,62500.0,3316800.0,129562.5,3316800.0,0.29338103756708406,0.4865831842576029,0.374805598755832,0.9862385321100917,1988,evansdw01,OF
1783,133,468,66,141,29,2,28,88.0,7.0,4.0,36,85.0,5.0,5.0,1.0,6.0,10.0,2.0,117.0,115.0,2932.0,105.0,191.0,7.0,24.0,0.0,0.0,0.0,1666666.0,62500.0,3454998.618,129562.5,3454998.618,0.30128205128205127,0.5512820512820513,0.3533980582524272,0.976897689768977,1988,gaettga01,3B
1797,150,542,106,157,28,1,25,76.0,31.0,4.0,73,120.0,14.0,7.0,3.0,7.0,8.0,1.0,148.0,147.0,3845.0,311.0,6.0,12.0,3.0,0.0,0.0,0.0,1833333.0,62500.0,3800499.309,129562.5,3800499.309,0.2896678966789668,0.4833948339483395,0.3767885532591415,0.9635258358662614,1988,gibsoki01,OF
1809,103,364,40,104,14,2,10,65.0,4.0,1.0,46,59.0,9.0,5.0,0.0,7.0,5.0,7.0,106.0,101.0,2487.0,466.0,99.0,12.0,26.0,0.0,0.0,0.0,1720000.0,62500.0,3565560.0,129562.5,3565560.0,0.2857142857142857,0.4175824175824176,0.36729857819905215,0.9792027729636048,1988,guerrpe01,1B
1830,140,554,118,169,30,2,6,50.0,93.0,13.0,82,54.0,1.0,3.0,2.0,6.0,6.0,1.0,136.0,135.0,3576.0,320.0,7.0,12.0,5.0,0.0,0.0,0.0,1770000.0,62500.0,3669210.0,129562.5,3669210.0,0.30505415162454874,0.3989169675090253,0.3937984496124031,0.9646017699115044,1988,henderi01,OF
1834,95,348,43,96,16,0,11,55.0,2.0,1.0,31,57.0,3.0,1.0,0.0,4.0,11.0,1.0,93.0,91.0,2302.0,734.0,77.0,2.0,63.0,0.0,0.0,0.0,1850000.0,62500.0,3835050.0,129562.5,3835050.0,0.27586206896551724,0.4166666666666667,0.3333333333333333,0.997539975399754,1988,hernake01,1B
1923,144,599,94,186,37,0,18,88.0,1.0,0.0,41,29.0,14.0,3.0,0.0,8.0,13.0,2.0,144.0,142.0,3832.0,1250.0,99.0,9.0,131.0,0.0,0.0,0.0,2000000.0,62500.0,4146000.0,129562.5,4146000.0,0.3105175292153589,0.46243739565943237,0.3533026113671275,0.9933726067746687,1988,mattido01,1B
1958,156,592,77,134,35,4,24,77.0,3.0,5.0,74,125.0,16.0,2.0,0.0,3.0,24.0,1.0,156.0,155.0,4200.0,340.0,15.0,3.0,4.0,0.0,0.0,0.0,2000000.0,62500.0,4146000.0,129562.5,4146000.0,0.22635135135135134,0.4206081081081081,0.31296572280178836,0.9916201117318436,1988,murphda05,OF
1960,161,603,75,171,27,2,28,84.0,5.0,2.0,75,78.0,8.0,0.0,0.0,3.0,20.0,1.0,103.0,103.0,2664.0,867.0,106.0,11.0,101.0,0.0,0.0,0.0,2142904.0,62500.0,4442239.992,129562.5,4442239.992,0.2835820895522388,0.47429519071310117,0.36123348017621143,0.9888211382113821,1988,murraed02,1B
2016,109,429,66,116,19,7,12,48.0,33.0,7.0,53,44.0,14.0,2.0,0.0,4.0,8.0,1.0,108.0,108.0,2893.0,235.0,5.0,3.0,1.0,0.0,0.0,0.0,1666333.0,62500.0,3454308.309,129562.5,3454308.309,0.2703962703962704,0.43123543123543123,0.35040983606557374,0.9876543209876543,1988,raineti01,OF
